"Zone ID","hhd"
"E02000328",6471
"E02000329",6326
"E02000331",8175
"E02000332",7410
"E02000333",6173
"E02000334",6629
"E02000335",6675
"E02000337",8471
"E02000339",6286
"E02000340",6863
"E02000341",7956
"E02000342",5755
"E02000343",7045
"E02000344",6354
"E02000345",8197
"E02000346",9280
"E02000347",8055
"E02000348",8105
"E02000350",10241
"E02000351",9247
"E02000352",6699
"E02000353",7763
"E02000354",9588
"E02000355",8102
"E02000356",7034
"E02000357",6845
"E02000358",11065
"E02000359",6683
"E02000360",11510
"E02000361",8054
"E02000362",6756
"E02000363",11168
"E02000364",9210
"E02000366",8229
"E02000367",10271
"E02000368",9903
"E02000369",13418
"E02000370",8828
"E02000372",9048
"E02000373",7033
"E02000374",6697
"E02000375",7445
"E02000376",6696
"E02000377",7576
"E02000378",6418
"E02000379",7264
"E02000380",5497
"E02000381",7580
"E02000382",5921
"E02000383",8332
"E02000384",8059
"E02000385",5594
"E02000386",7562
"E02000387",5898
"E02000388",8618
"E02000389",8633
"E02000390",6194
"E02000391",7547
"E02000392",9209
"E02000393",5975
"E02000394",9222
"E02000395",5680
"E02000396",6890
"E02000397",7905
"E02000398",7495
"E02000400",7977
"E02000401",6862
"E02000402",6470
"E02000403",7499
"E02000404",7103
"E02000405",6474
"E02000406",6735
"E02000407",7562
"E02000408",8166
"E02000409",6043
"E02000410",6240
"E02000411",10551
"E02000412",7248
"E02000413",7683
"E02000414",7077
"E02000415",7236
"E02000416",8453
"E02000417",6471
"E02000418",5431
"E02000419",8735
"E02000420",7975
"E02000421",8247
"E02000422",7399
"E02000423",6871
"E02000424",6692
"E02000425",8169
"E02000426",6455
"E02000427",6612
"E02000428",8387
"E02000429",6793
"E02000430",6911
"E02000431",5847
"E02000432",6086
"E02000433",8485
"E02000434",9778
"E02000435",8118
"E02000436",5747
"E02000437",8625
"E02000438",8451
"E02000439",9264
"E02000440",9600
"E02000441",7435
"E02000442",9579
"E02000443",10682
"E02000444",8695
"E02000445",11624
"E02000447",8192
"E02000448",7058
"E02000449",8281
"E02000451",6681
"E02000452",9386
"E02000453",8376
"E02000454",7339
"E02000455",11515
"E02000456",7822
"E02000457",7050
"E02000459",9318
"E02000460",7286
"E02000461",6375
"E02000462",6981
"E02000463",8694
"E02000464",7664
"E02000465",9345
"E02000466",8902
"E02000467",11446
"E02000468",8581
"E02000469",7214
"E02000470",9721
"E02000471",7817
"E02000472",9442
"E02000473",10449
"E02000474",9136
"E02000475",9486
"E02000476",9270
"E02000477",9525
"E02000478",5930
"E02000479",9379
"E02000480",13675
"E02000481",8172
"E02000482",6568
"E02000483",7973
"E02000484",8481
"E02000485",8476
"E02000486",7300
"E02000487",7820
"E02000488",7545
"E02000489",8634
"E02000490",8469
"E02000491",10596
"E02000492",6802
"E02000493",6736
"E02000494",7833
"E02000495",10372
"E02000496",7654
"E02000497",9443
"E02000498",6377
"E02000499",7727
"E02000500",8237
"E02000501",8421
"E02000502",8874
"E02000503",8688
"E02000504",7643
"E02000506",7895
"E02000507",8194
"E02000508",10470
"E02000509",8480
"E02000510",8919
"E02000511",9861
"E02000512",8800
"E02000513",9760
"E02000514",10665
"E02000515",13291
"E02000516",8629
"E02000517",10332
"E02000518",9626
"E02000519",9550
"E02000520",13962
"E02000521",13093
"E02000522",9469
"E02000523",11350
"E02000524",7335
"E02000525",10045
"E02000526",8456
"E02000529",9714
"E02000530",8111
"E02000531",11512
"E02000532",8975
"E02000533",8402
"E02000534",8460
"E02000535",10042
"E02000536",10709
"E02000537",9805
"E02000538",10101
"E02000539",12142
"E02000540",12101
"E02000541",10581
"E02000542",12154
"E02000543",13967
"E02000544",8557
"E02000545",9184
"E02000546",10269
"E02000547",10998
"E02000548",10524
"E02000549",12222
"E02000550",10710
"E02000551",9726
"E02000552",9012
"E02000553",7107
"E02000554",9302
"E02000555",9495
"E02000556",11047
"E02000557",8709
"E02000558",9301
"E02000559",9576
"E02000560",7239
"E02000561",7184
"E02000562",7732
"E02000563",8576
"E02000564",11972
"E02000565",8340
"E02000566",8547
"E02000567",10420
"E02000568",10427
"E02000569",9925
"E02000570",8271
"E02000571",8886
"E02000572",8600
"E02000573",10093
"E02000574",7097
"E02000575",10307
"E02000576",10287
"E02000577",7455
"E02000578",5823
"E02000579",8954
"E02000580",7892
"E02000581",7388
"E02000582",6226
"E02000583",6426
"E02000584",7159
"E02000585",8015
"E02000586",6397
"E02000587",6469
"E02000588",5982
"E02000589",6975
"E02000590",5929
"E02000591",6084
"E02000592",5606
"E02000593",7289
"E02000594",6200
"E02000595",6061
"E02000596",6400
"E02000597",6336
"E02000598",8093
"E02000599",6692
"E02000600",8296
"E02000601",11902
"E02000602",9660
"E02000603",8379
"E02000604",9217
"E02000605",8310
"E02000606",10119
"E02000607",6375
"E02000608",6693
"E02000609",7568
"E02000610",7797
"E02000611",7440
"E02000612",8165
"E02000613",7942
"E02000614",9292
"E02000615",7881
"E02000616",6061
"E02000617",8807
"E02000619",9046
"E02000620",9709
"E02000621",11961
"E02000622",8313
"E02000623",7834
"E02000624",9577
"E02000625",9260
"E02000626",8308
"E02000627",9314
"E02000628",10724
"E02000629",9116
"E02000630",7475
"E02000631",9447
"E02000632",9547
"E02000633",9134
"E02000634",6720
"E02000635",9772
"E02000636",7679
"E02000637",8390
"E02000638",9544
"E02000639",8318
"E02000640",9293
"E02000641",8534
"E02000642",9796
"E02000643",9321
"E02000644",8521
"E02000645",9522
"E02000646",9385
"E02000647",8443
"E02000648",7761
"E02000649",12268
"E02000650",7659
"E02000651",8629
"E02000652",7513
"E02000653",12604
"E02000654",8781
"E02000655",10009
"E02000657",9419
"E02000658",8602
"E02000659",7999
"E02000660",8058
"E02000661",6470
"E02000662",8295
"E02000663",6773
"E02000665",8155
"E02000666",7118
"E02000667",6681
"E02000668",6858
"E02000669",7848
"E02000670",6697
"E02000671",8740
"E02000672",10120
"E02000673",8135
"E02000674",8284
"E02000675",8455
"E02000676",7772
"E02000677",7114
"E02000678",6960
"E02000679",8109
"E02000680",6988
"E02000681",8463
"E02000682",8907
"E02000683",6761
"E02000685",8063
"E02000686",7528
"E02000687",8159
"E02000689",9052
"E02000690",5421
"E02000691",7254
"E02000692",7598
"E02000693",9690
"E02000694",9086
"E02000695",8626
"E02000696",8625
"E02000697",8719
"E02000698",8168
"E02000699",8214
"E02000700",8657
"E02000701",9009
"E02000702",9308
"E02000703",7964
"E02000704",8513
"E02000705",9246
"E02000706",10035
"E02000707",8289
"E02000708",8864
"E02000709",7977
"E02000710",8982
"E02000711",9415
"E02000712",9644
"E02000713",7751
"E02000714",7709
"E02000715",7255
"E02000716",7291
"E02000717",8349
"E02000718",7406
"E02000719",8034
"E02000720",7486
"E02000721",9510
"E02000722",8037
"E02000723",11183
"E02000724",10010
"E02000725",9937
"E02000727",8512
"E02000728",8526
"E02000729",7327
"E02000730",9908
"E02000731",9962
"E02000732",8899
"E02000733",10056
"E02000734",7299
"E02000735",8608
"E02000736",9154
"E02000737",10379
"E02000738",9577
"E02000739",7724
"E02000740",6754
"E02000741",8239
"E02000742",8641
"E02000743",10171
"E02000744",9171
"E02000745",8598
"E02000746",8968
"E02000747",13072
"E02000748",6105
"E02000749",9475
"E02000751",11065
"E02000752",8780
"E02000753",6865
"E02000754",6766
"E02000755",5473
"E02000756",14585
"E02000757",12341
"E02000758",6885
"E02000759",13028
"E02000760",7490
"E02000762",6617
"E02000763",8015
"E02000764",12165
"E02000765",7526
"E02000767",8488
"E02000768",5788
"E02000770",8092
"E02000772",8247
"E02000773",10623
"E02000774",8078
"E02000776",6991
"E02000777",5991
"E02000779",8288
"E02000781",16246
"E02000782",11371
"E02000783",7395
"E02000784",10010
"E02000785",9619
"E02000786",11355
"E02000787",12083
"E02000788",9083
"E02000789",6232
"E02000790",6585
"E02000791",6404
"E02000792",7020
"E02000793",8030
"E02000794",6998
"E02000795",6875
"E02000796",11053
"E02000797",7810
"E02000798",11270
"E02000799",5890
"E02000800",5409
"E02000801",7103
"E02000802",6924
"E02000803",9704
"E02000804",7088
"E02000805",10659
"E02000806",10213
"E02000807",8227
"E02000808",8910
"E02000810",11886
"E02000812",10295
"E02000813",10135
"E02000814",10228
"E02000815",7016
"E02000816",9608
"E02000817",6733
"E02000818",9783
"E02000819",8490
"E02000820",8933
"E02000821",9358
"E02000822",6702
"E02000823",8665
"E02000824",9903
"E02000825",9992
"E02000826",9637
"E02000827",11257
"E02000828",8811
"E02000829",10798
"E02000830",8751
"E02000831",9335
"E02000832",9647
"E02000833",7484
"E02000834",9385
"E02000835",7673
"E02000836",8272
"E02000837",8527
"E02000838",9407
"E02000839",8310
"E02000840",9313
"E02000841",9146
"E02000842",8224
"E02000843",9473
"E02000844",8655
"E02000845",9413
"E02000846",7531
"E02000847",9393
"E02000848",8139
"E02000849",8138
"E02000850",10830
"E02000851",11576
"E02000852",8109
"E02000853",8163
"E02000854",7589
"E02000855",8198
"E02000856",9310
"E02000857",8749
"E02000858",8563
"E02000859",8345
"E02000860",8655
"E02000861",7667
"E02000863",6715
"E02000864",11262
"E02000865",7601
"E02000866",10637
"E02000867",11325
"E02000868",6955
"E02000869",5906
"E02000870",6338
"E02000871",11514
"E02000872",7989
