"Var1","shannon","SMS"
"E02000001",0.420463818739268,"SexbyAge"
"E02000002",0.471644217730373,"SexbyAge"
"E02000003",0.383728808983404,"SexbyAge"
"E02000004",0.553728576962364,"SexbyAge"
"E02000005",0.38277283589435,"SexbyAge"
"E02000007",0.408491644315592,"SexbyAge"
"E02000008",0.348363932366711,"SexbyAge"
"E02000009",0.336508192941606,"SexbyAge"
"E02000010",0.427973984950102,"SexbyAge"
"E02000011",0.52725936363464,"SexbyAge"
"E02000012",0.37389735908104,"SexbyAge"
"E02000013",0.428895272660562,"SexbyAge"
"E02000014",0.427962961774269,"SexbyAge"
"E02000015",0.464602390064138,"SexbyAge"
"E02000016",0.354181142393622,"SexbyAge"
"E02000017",0.426971705714081,"SexbyAge"
"E02000018",0.418487741930885,"SexbyAge"
"E02000019",0.415494192717907,"SexbyAge"
"E02000020",0.313449590236885,"SexbyAge"
"E02000021",0.445444904467323,"SexbyAge"
"E02000022",0.432270523238474,"SexbyAge"
"E02000023",0.442114535912994,"SexbyAge"
"E02000024",0.442558341924183,"SexbyAge"
"E02000025",0.494247275319603,"SexbyAge"
"E02000026",0.580062650922149,"SexbyAge"
"E02000027",0.457688462585362,"SexbyAge"
"E02000028",0.569952800071329,"SexbyAge"
"E02000029",0.442116796866042,"SexbyAge"
"E02000030",0.47687731508593,"SexbyAge"
"E02000031",0.510313458161753,"SexbyAge"
"E02000032",0.516420254705972,"SexbyAge"
"E02000033",0.475323076375725,"SexbyAge"
"E02000034",0.477356593411569,"SexbyAge"
"E02000035",0.494630805817779,"SexbyAge"
"E02000036",0.409019687757433,"SexbyAge"
"E02000037",0.425454912417762,"SexbyAge"
"E02000038",0.433949836921417,"SexbyAge"
"E02000039",0.538462045234355,"SexbyAge"
"E02000040",0.475094207799964,"SexbyAge"
"E02000041",0.451983596901336,"SexbyAge"
"E02000042",0.39957173577388,"SexbyAge"
"E02000043",0.527462194143035,"SexbyAge"
"E02000044",0.451162501104102,"SexbyAge"
"E02000045",0.422847343816233,"SexbyAge"
"E02000046",0.527771662028484,"SexbyAge"
"E02000047",0.365408926475738,"SexbyAge"
"E02000048",0.441880980410355,"SexbyAge"
"E02000049",0.388319710971914,"SexbyAge"
"E02000050",0.429769997929178,"SexbyAge"
"E02000051",0.478185855109622,"SexbyAge"
"E02000052",0.439538386479443,"SexbyAge"
"E02000054",0.497148164799824,"SexbyAge"
"E02000055",0.36997130557308,"SexbyAge"
"E02000056",0.486068846559691,"SexbyAge"
"E02000057",0.468639780035816,"SexbyAge"
"E02000058",0.442528702273114,"SexbyAge"
"E02000059",0.374746246663674,"SexbyAge"
"E02000060",0.371439755465312,"SexbyAge"
"E02000061",0.489839113668637,"SexbyAge"
"E02000062",0.508484143434288,"SexbyAge"
"E02000063",0.506762047989396,"SexbyAge"
"E02000064",0.535923067314659,"SexbyAge"
"E02000065",0.474918457397056,"SexbyAge"
"E02000066",0.445023000808723,"SexbyAge"
"E02000067",0.416995982651845,"SexbyAge"
"E02000068",0.475449243536222,"SexbyAge"
"E02000069",0.530337709544424,"SexbyAge"
"E02000070",0.51970280913696,"SexbyAge"
"E02000071",0.517940083053121,"SexbyAge"
"E02000072",0.347239087625177,"SexbyAge"
"E02000073",0.438799177444321,"SexbyAge"
"E02000074",0.476148267457534,"SexbyAge"
"E02000075",0.525569515886957,"SexbyAge"
"E02000077",0.505354376107572,"SexbyAge"
"E02000078",0.515277379588618,"SexbyAge"
"E02000079",0.49070274284899,"SexbyAge"
"E02000080",0.446973077636013,"SexbyAge"
"E02000081",0.502450021606074,"SexbyAge"
"E02000082",0.472467030734429,"SexbyAge"
"E02000083",0.404097289283346,"SexbyAge"
"E02000084",0.421941511474802,"SexbyAge"
