"Zone ID","verygood","good","fair","bad","verybad"
"E02000180",4300,2350,780,284,119
"E02000181",5014,2191,617,188,56
"E02000182",4219,2011,585,199,76
"E02000183",4229,2171,795,275,98
"E02000184",4266,2511,939,382,115
"E02000185",4559,2623,1098,451,149
"E02000186",3391,1828,576,197,62
"E02000187",4537,2863,1181,496,161
"E02000188",3340,2188,872,323,110
"E02000191",2088,1158,360,131,51
"E02000192",3331,2024,761,335,113
"E02000193",2986,1657,565,231,72
"E02000194",4794,3040,923,238,58
"E02000195",5061,3153,1029,283,85
"E02000196",3961,2544,943,296,81
"E02000197",4552,3030,1034,319,69
"E02000198",4512,2976,973,298,86
"E02000199",4373,2874,875,214,65
"E02000200",4793,2826,974,258,70
"E02000201",4454,2814,1010,327,73
"E02000202",4473,3037,1000,269,64
"E02000203",3895,2637,938,282,101
"E02000204",4810,3254,1144,303,89
"E02000206",5574,3481,1143,382,96
"E02000207",4370,2999,1045,355,121
"E02000208",5420,3577,1251,372,127
"E02000209",4606,3124,981,271,79
"E02000210",4579,2926,861,268,69
"E02000211",4108,2911,939,238,73
"E02000212",4796,3056,1091,329,117
"E02000213",6630,4067,1419,422,160
"E02000214",3124,2214,684,167,47
"E02000215",6013,4002,1197,393,107
"E02000216",3638,2460,706,211,63
"E02000217",6212,3999,1254,366,90
"E02000218",3448,2185,750,218,68
"E02000219",3650,2760,842,214,76
"E02000221",5366,3598,1235,342,113
"E02000222",4471,2779,781,186,60
"E02000223",4248,2673,1069,424,117
"E02000224",4244,2734,770,183,57
"E02000225",3573,2470,1017,341,97
"E02000226",3696,2671,808,199,65
"E02000227",5592,4175,1389,414,109
"E02000228",4349,2571,748,154,42
"E02000229",2867,1929,922,344,101
"E02000230",5474,3374,1016,280,90
"E02000231",4360,2461,680,154,54
"E02000232",3049,2116,727,214,75
"E02000233",3395,2030,574,204,36
"E02000234",4900,3125,980,257,80
"E02000235",3632,2297,652,158,64
"E02000236",5069,2949,806,215,63
"E02000237",3836,2598,838,241,75
"E02000238",5578,3624,1116,297,92
"E02000239",4545,3251,939,229,79
"E02000240",5442,3875,1301,422,146
"E02000241",3668,2672,803,187,65
"E02000242",3454,2328,835,202,67
"E02000243",4072,3196,1009,280,102
"E02000244",4112,2562,903,231,77
"E02000245",4793,2989,1048,356,113
"E02000246",4781,3160,1036,360,114
"E02000247",5576,3631,1250,395,122
"E02000248",4227,2497,679,237,77
"E02000249",4243,2698,984,304,90
"E02000250",3727,1952,565,125,45
"E02000251",3884,3043,1016,272,89
"E02000252",5286,3453,1129,302,111
"E02000253",4872,3429,1378,443,138
"E02000254",4149,3317,1251,326,80
"E02000255",5351,3109,904,288,81
"E02000256",5165,2897,754,237,72
"E02000258",3853,2166,605,184,38
"E02000259",3629,2092,657,151,55
"E02000260",4665,3329,1210,354,99
"E02000261",7071,3920,1135,384,121
"E02000262",5113,2799,906,316,111
"E02000263",6641,4727,1649,528,150
"E02000264",4726,2674,712,188,66
"E02000265",5967,3452,1174,382,131
"E02000266",6499,4174,1485,541,168
"E02000267",4530,2556,769,215,64
"E02000268",4967,2919,912,264,83
"E02000269",4790,2494,648,149,36
"E02000270",5449,2817,877,328,130
"E02000271",4297,1998,501,112,32
"E02000272",3711,2145,550,197,52
"E02000275",3908,2789,1016,282,84
"E02000276",3817,2191,567,136,46
"E02000277",3653,2512,933,289,85
"E02000278",4466,3040,1265,434,148
"E02000279",6135,4180,1372,454,167
"E02000280",4349,2814,994,325,103
"E02000281",4949,3063,1086,365,110
"E02000282",4980,3111,1179,453,164
"E02000283",4206,2885,969,323,122
"E02000284",4487,2937,935,279,76
"E02000285",3357,2334,731,167,55
"E02000286",4562,2859,905,230,81
"E02000287",4025,2192,767,213,79
"E02000288",6320,4217,1533,554,148
"E02000289",3582,2262,692,178,59
"E02000290",3377,2210,703,289,94
"E02000291",5154,3285,1102,332,107
"E02000292",5029,3267,1102,321,103
"E02000293",3491,2050,626,166,47
"E02000294",4600,3029,1174,377,131
"E02000295",4698,2698,895,253,65
"E02000296",5213,3419,1128,319,89
"E02000297",4714,3186,1084,273,78
"E02000298",4638,2527,758,184,55
"E02000299",4566,3224,1141,379,136
"E02000300",4303,3040,1013,334,96
"E02000301",5037,3272,1295,447,148
"E02000302",4373,2951,939,315,72
"E02000303",3974,2720,1110,413,130
"E02000304",4232,2695,777,172,70
"E02000305",4677,2945,820,216,59
"E02000306",4384,2914,1175,478,165
"E02000307",4919,3624,1122,329,110
"E02000308",4542,2813,992,290,106
"E02000309",6006,3844,1318,460,117
"E02000311",5274,3507,1225,405,124
"E02000312",5946,3680,1185,343,109
"E02000313",3345,2011,774,262,87
"E02000314",7449,3678,1120,361,108
"E02000315",5262,2992,1039,422,111
"E02000317",3805,2390,844,351,95
"E02000318",5373,3772,1336,432,138
"E02000319",5376,3483,1220,367,105
"E02000320",3667,2241,752,214,77
"E02000321",3726,2542,939,347,111
"E02000323",6644,4302,1355,361,114
"E02000324",3888,2467,980,375,89
"E02000326",4221,2516,763,209,82
"E02000327",3493,1958,738,232,98
"E02000328",3512,2019,656,215,68
"E02000329",3098,2079,801,263,85
"E02000331",4130,2670,899,350,122
"E02000332",3889,2442,773,230,76
"E02000333",3487,1870,564,194,57
"E02000334",3363,2200,714,271,81
"E02000335",3404,2285,742,182,63
"E02000337",3900,2905,1121,417,129
"E02000339",3256,2042,709,214,65
"E02000340",3487,2243,823,252,57
"E02000341",3819,2546,1045,406,140
"E02000342",2942,1849,650,239,74
"E02000343",3357,2332,914,350,93
"E02000344",3329,2114,665,171,75
"E02000345",5840,1542,531,220,64
"E02000346",4938,2835,1037,348,122
"E02000347",5483,1769,539,195,68
"E02000348",5224,1766,713,298,104
"E02000350",6120,2848,882,286,105
"E02000351",5226,2728,871,298,124
"E02000352",3795,1929,657,239,79
"E02000353",4543,2213,687,220,98
"E02000354",5141,2856,1018,397,176
"E02000355",4492,2444,813,259,94
"E02000356",4132,2046,588,198,70
"E02000357",3440,2057,873,355,120
"E02000358",6023,3327,1190,388,139
"E02000359",3653,1987,703,246,93
"E02000360",5947,3564,1293,506,200
"E02000361",4462,2407,827,275,83
"E02000362",3541,2053,776,287,100
"E02000363",5946,3326,1199,533,164
"E02000364",5090,2677,962,361,120
"E02000366",4335,2357,988,409,140
"E02000367",6058,2915,891,305,104
"E02000368",5088,2856,1240,528,191
"E02000369",7437,4021,1273,506,179
"E02000370",4965,2574,826,345,117
"E02000372",4631,2791,1101,393,132
"E02000373",3804,2071,777,290,91
"E02000374",3834,1844,691,240,84
"E02000375",4142,2209,715,290,89
"E02000376",3685,2044,630,253,84
"E02000377",4196,2263,760,267,90
"E02000378",3678,1884,587,187,83
"E02000379",4360,2058,561,205,80
"E02000380",3341,1477,492,141,47
"E02000381",4597,2060,622,238,63
"E02000382",3525,1679,504,158,55
"E02000383",4743,2524,745,222,101
"E02000384",4524,2289,828,312,106
"E02000385",3398,1609,429,123,36
"E02000386",4136,2239,811,291,85
"E02000387",3405,1632,592,203,67
"E02000388",5295,2281,686,262,92
"E02000389",5395,2415,575,184,64
"E02000390",3755,1686,525,172,56
"E02000391",4903,1827,550,191,76
"E02000392",5853,2376,685,212,83
"E02000393",4104,1370,364,92,47
"E02000394",5709,2440,728,242,103
"E02000395",3632,1498,411,103,36
"E02000396",4353,1787,518,174,58
"E02000397",4056,2568,879,312,90
"E02000398",3661,2368,985,362,120
"E02000400",4280,2498,835,251,113
"E02000401",3126,2242,992,375,127
"E02000402",3077,2092,851,331,116
"E02000403",3882,2561,706,273,75
"E02000404",3412,2401,866,309,115
"E02000405",3893,1877,518,135,51
"E02000406",3181,2320,795,341,98
"E02000407",3667,2569,936,300,90
"E02000408",3996,2682,950,429,109
"E02000409",2881,2010,816,254,81
"E02000410",3724,1923,432,129,32
"E02000411",5369,3597,1062,402,120
"E02000412",3445,2449,882,335,137
"E02000413",4471,2347,626,182,59
"E02000414",3594,2430,744,230,79
"E02000415",3716,2392,767,289,72
"E02000416",4476,2667,884,285,142
"E02000417",3810,1952,505,157,48
"E02000418",3169,1566,497,145,54
"E02000419",4629,2864,858,301,83
"E02000420",3871,2728,907,357,113
"E02000421",4150,2758,869,357,115
"E02000422",3750,2401,812,321,113
"E02000423",3595,2292,675,240,69
"E02000424",3843,1929,623,208,89
"E02000425",5729,1657,526,196,63
"E02000426",3819,1812,586,175,63
"E02000427",3516,2160,690,176,65
"E02000428",4408,2696,844,324,115
"E02000429",4061,1913,597,167,55
"E02000430",4075,2079,569,145,43
"E02000431",3559,1740,395,105,48
"E02000432",3412,1840,539,207,87
"E02000433",4258,2850,985,293,99
"E02000434",5143,3261,1007,270,97
"E02000435",4166,2637,948,270,97
"E02000436",2949,1977,649,130,42
"E02000437",4167,3027,987,331,111
"E02000438",4364,2752,961,294,83
"E02000439",4901,3065,916,283,101
"E02000440",5004,3371,917,227,81
"E02000441",3923,2425,805,207,75
"E02000442",4993,3262,990,254,80
"E02000443",5564,3355,1236,410,117
"E02000444",4465,3046,900,223,61
"E02000445",5967,3924,1263,365,105
"E02000447",4385,2733,803,200,72
"E02000448",3798,2367,673,173,47
"E02000449",4136,2867,936,263,80
"E02000451",3417,2419,664,136,42
"E02000452",4925,3273,838,271,79
"E02000453",4376,2825,865,229,81
"E02000454",4028,2447,661,158,45
"E02000455",6238,3866,1027,273,111
"E02000456",4027,2645,855,214,81
"E02000457",3509,2485,802,203,51
"E02000459",4738,3226,995,275,84
